Name,Status,Link,Presentation,Availability,Related,Reason
Alogliptin Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Alogliptin Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Alogliptin Tablets detail"">Alogliptin Tablets</a>","12.5mg, 30 Tablets (NDC 45802-0103-65)",Available,,Demand increase for the drug
Alogliptin Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Alogliptin Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Alogliptin Tablets detail"">Alogliptin Tablets</a>","25mg, 30 Tablets (NDC 45802-0150-65)",Available,,Demand increase for the drug
Alogliptin Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Alogliptin Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Alogliptin Tablets detail"">Alogliptin Tablets</a>","6.25mg, 30 Tablets (NDC 45802-0087-65)",Available,,Demand increase for the drug
Amino Acids,Resolved,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Amino Acids&amp;st=r&amp;tab=tabs-1"" title=""Link to Amino Acids detail"">Amino Acids</a>",,,,
"Aminophylline Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Aminophylline Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Aminophylline Injection, USP detail"">Aminophylline Injection, USP</a>",250 mg/10mL (25 mg/mL) Single Dose Glass Fliptop Vial (NDC 0409-5921-01),Available,,Other
"Aminophylline Injection, USP",Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Aminophylline Injection, USP&amp;st=c&amp;tab=tabs-1"" title=""Link to Aminophylline Injection, USP detail"">Aminophylline Injection, USP</a>",500 mg/20mL (25 mg/mL) Single Dose Glass Fliptop Vial (NDC 0409-5922-01),Next Delivery and Estimated Recovery: May 2020,,Demand increase for the drug
Amoxapine Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Amoxapine Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Amoxapine Tablets detail"">Amoxapine Tablets</a>","50 mg, 100 tablets (NDC 0591-5714-01)",Unavailable. Estimated supply availability June 2020.,Manufacturing delay due to capacity constraint,Other
Amoxapine Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Amoxapine Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Amoxapine Tablets detail"">Amoxapine Tablets</a>","25 mg, 100 tablets (NDC 0591-5713-01)",Unavailable. Estimated supply availability June 2020.,Manufacturing delay due to capacity constraint,Other
Amoxapine Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Amoxapine Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Amoxapine Tablets detail"">Amoxapine Tablets</a>","100 mg, 100 tablets (NDC 0591-5715-01)",Unavailable. Estimated supply availability June 2020.,Manufacturing delay due to capacity constraint,Other
Amoxapine Tablets,Currently in Shortage,"<a href=""dsp_ActiveIngredientDetails.cfm?AI=Amoxapine Tablets&amp;st=c&amp;tab=tabs-1"" title=""Link to Amoxapine Tablets detail"">Amoxapine Tablets</a>","150 mg, 100 tablets (NDC 0591-5716-01)",Unavailable. Estimated supply availability June 2020,Manufacturing delay due to capacity constraint,Other
